offset,ea,b0,b1,b2,action,target,notes
00,0x1073,A3,E0,90,.,.,
01,0x1074,E0,90,11,.,.,
02,0x1075,90,11,CB,.,.,
03,0x1076,11,CB,F0,.,.,
04,0x1077,CB,F0,90,.,.,
05,0x1078,F0,90,11,.,.,
06,0x1079,90,11,3E,.,.,
07,0x107A,11,3E,E0,.,.,
08,0x107B,3E,E0,44,.,.,
09,0x107C,E0,44,08,.,.,
0A,0x107D,44,08,F0,.,.,
0B,0x107E,08,F0,90,.,.,
0C,0x107F,F0,90,12,.,.,
0D,0x1080,90,12,0E,.,.,
0E,0x1081,12,0E,E0,LCALL,0x0EE0,
0F,0x1082,0E,E0,44,.,.,
10,0x1083,E0,44,01,.,.,
11,0x1084,44,01,F0,.,.,
12,0x1085,01,F0,E0,AJMP/ACALL?,0xF0E0,
13,0x1086,F0,E0,44,.,.,
14,0x1087,E0,44,10,.,.,
15,0x1088,44,10,F0,.,.,
16,0x1089,10,F0,22,.,.,
17,0x108A,F0,22,A3,.,.,
18,0x108B,22,A3,F0,.,.,
19,0x108C,A3,F0,7B,.,.,
1A,0x108D,F0,7B,07,.,.,
1B,0x108E,7B,07,7D,.,.,
1C,0x108F,07,7D,05,.,.,
1D,0x1090,7D,05,12,.,.,
1E,0x1091,05,12,AB,.,.,
1F,0x1092,12,AB,91,LCALL,0xAB91,
20,0x1093,AB,91,22,.,.,
21,0x1094,91,22,E0,.,.,
22,0x1095,22,E0,FC,.,.,
23,0x1096,E0,FC,A3,.,.,
24,0x1097,FC,A3,E0,.,.,
25,0x1098,A3,E0,FD,.,.,
26,0x1099,E0,FD,EC,.,.,
27,0x109A,FD,EC,FF,.,.,
28,0x109B,EC,FF,EF,.,.,
29,0x109C,FF,EF,22,.,.,
2A,0x109D,EF,22,54,.,.,
2B,0x109E,22,54,01,.,.,
2C,0x109F,54,01,FF,.,.,
2D,0x10A0,01,FF,90,AJMP/ACALL?,0xFF90,
2E,0x10A1,FF,90,11,.,.,
2F,0x10A2,90,11,9F,.,.,
30,0x10A3,11,9F,E0,.,.,
31,0x10A4,9F,E0,54,.,.,
32,0x10A5,E0,54,FE,.,.,
33,0x10A6,54,FE,4F,.,.,
34,0x10A7,FE,4F,F0,.,.,
35,0x10A8,4F,F0,90,.,.,
36,0x10A9,F0,90,11,.,.,
37,0x10AA,90,11,9E,.,.,
38,0x10AB,11,9E,ED,.,.,
39,0x10AC,9E,ED,F0,.,.,
3A,0x10AD,ED,F0,90,.,.,
3B,0x10AE,F0,90,11,.,.,
3C,0x10AF,90,11,9B,.,.,
3D,0x10B0,11,9B,E0,.,.,
3E,0x10B1,9B,E0,22,.,.,
3F,0x10B2,E0,22,A3,.,.,
40,0x10B3,22,A3,E0,.,.,
41,0x10B4,A3,E0,54,.,.,
42,0x10B5,E0,54,7F,.,.,
43,0x10B6,54,7F,FF,.,.,
44,0x10B7,7F,FF,90,.,.,
45,0x10B8,FF,90,11,.,.,
46,0x10B9,90,11,BA,.,.,
47,0x10BA,11,BA,E0,.,.,
48,0x10BB,BA,E0,54,.,.,
49,0x10BC,E0,54,80,.,.,
4A,0x10BD,54,80,4F,.,.,
4B,0x10BE,80,4F,F0,SJMP,0x110F,
4C,0x10BF,4F,F0,A3,.,.,
4D,0x10C0,F0,A3,E0,.,.,
4E,0x10C1,A3,E0,54,.,.,
4F,0x10C2,E0,54,80,.,.,
50,0x10C3,54,80,4F,.,.,
51,0x10C4,80,4F,F0,SJMP,0x1115,
52,0x10C5,4F,F0,22,.,.,
53,0x10C6,F0,22,90,.,.,
