Address	Function	Instruction
code:0000000D	TF0	                movx    A, @R1
code:0000006C	IEX6	                movx    @R0, A
code:0000032B	CTF	                movx    @DPTR, A
code:00000D83	code_D83	                movx    @DPTR, A
code:00000DB8	code_D83	                movx    A, @DPTR
code:00000DBB	code_D83	                movx    A, @DPTR
code:00000DEA	code_D83	                movx    A, @DPTR
code:00000DED	code_D83	                movx    A, @DPTR
code:00000DF3	code_D83	                movx    A, @DPTR
code:00000DF8	code_D83	                movx    A, @DPTR
code:00000DFF	code_D83	                movx    A, @DPTR
code:00000E08	code_D83	                movx    A, @DPTR
code:00000E0E	code_D83	                movx    A, @DPTR
code:00000E16	code_D83	                movx    A, @DPTR
code:00000E1F	code_D83	                movx    A, @DPTR
code:00000E25	code_D83	                movx    A, @DPTR
code:00000E2B	code_D83	                movx    A, @DPTR
code:00000E30	code_D83	                movx    @DPTR, A
code:00000E34	code_D83	                movx    A, @DPTR
code:00000E37	code_D83	                movx    @DPTR, A
code:00000E3C	code_D83	                movx    @DPTR, A
code:00000E40	code_D83	                movx    A, @DPTR
code:00000E43	code_D83	                movx    @DPTR, A
code:00000E47	code_D83	                movx    A, @DPTR
code:00000E4A	code_D83	                movx    A, @DPTR
code:00000E59	code_D83	                movx    @DPTR, A
code:00000E5D	code_D83	                movx    @DPTR, A
code:00000E6D	code_D83	                movx    @DPTR, A
code:00000E71	code_D83	                movx    @DPTR, A
code:00000E75	code_D83	                movx    A, @DPTR
code:00000E78	code_D83	                movx    A, @DPTR
code:00000E7B	code_D83	                movx    A, @DPTR
code:00000E7E	code_D83	                movx    A, @DPTR
code:00000E8B	code_D83	                movx    @DPTR, A
code:00000E8E	code_D83	                movx    @DPTR, A
code:00000E90	code_D83	                movx    A, @DPTR
code:00000E97	code_D83	                movx    A, @DPTR
code:0000100F	code_100A	                movx    @DPTR, A
code:00001013	code_100A	                movx    @DPTR, A
code:0000101C	code_100A	                movx    @DPTR, A
code:0000103F	code_100A	                movx    @DPTR, A
code:00001043	code_100A	                movx    @DPTR, A
code:0000104C	code_100A	                movx    @DPTR, A
code:00001050	code_100A	                movx    @DPTR, A
code:00001074	code_100A	                movx    A, @DPTR
code:00001078	code_100A	                movx    @DPTR, A
code:0000107C	code_100A	                movx    A, @DPTR
code:0000107F	code_100A	                movx    @DPTR, A
code:00001083	code_100A	                movx    A, @DPTR
code:00001086	code_100A	                movx    @DPTR, A
code:00001087	code_100A	                movx    A, @DPTR
code:0000108A	code_100A	                movx    @DPTR, A
code:00001102	code_10FF	                movx    A, @DPTR
code:0000116C	code_1169	                movx    @DPTR, A
code:000011C3	code_11B7	                movx    @DPTR, A
code:000011CE	code_11B7	                movx    @DPTR, A
code:000011DC	code_11B7	                movx    @DPTR, A
code:000011EA	code_11B7	                movx    @DPTR, A
code:000011F8	code_11B7	                movx    @DPTR, A
code:00001207	code_11B7	                movx    @DPTR, A
code:00001216	code_11B7	                movx    @DPTR, A
code:00001221	code_11B7	                movx    A, @DPTR
code:00001225	code_11B7	                movx    @DPTR, A
code:00001229	code_11B7	                movx    A, @DPTR
code:0000122C	code_11B7	                movx    @DPTR, A
code:0000122E	code_11B7	                movx    A, @DPTR
code:00001231	code_11B7	                movx    @DPTR, A
code:000014BC	code_14A8	                movx    @DPTR, A
code:000014C4	code_14A8	                movx    A, @DPTR
code:000014C8	code_14A8	                movx    @DPTR, A
code:000014CE	code_14A8	                movx    A, @DPTR
code:000014D1	code_14A8	                movx    @DPTR, A
code:000014D2	code_14A8	                movx    A, @DPTR
code:000014D5	code_14A8	                movx    @DPTR, A
code:000014D9	code_14D9	                movx    A, @DPTR
code:000014EA	code_14D9	                movx    A, @DPTR
code:000014F7	code_14D9	                movx    A, @DPTR
code:00001508	code_14D9	                movx    A, @DPTR
code:00001515	code_14D9	                movx    A, @DPTR
code:00001518	code_14D9	                movx    @DPTR, A
code:0000151D	code_14D9	                movx    A, @DPTR
code:00001520	code_14D9	                movx    @DPTR, A
code:0000157D	code_157B	                movx    A, @DPTR
code:00001595	code_157B	                movx    @DPTR, A
code:00002269	code_1951	                movx    A, @DPTR
code:0000226B	code_1951	                movx    @DPTR, A
code:00002270	code_1951	                movx    A, @DPTR
code:0000227C	code_1951	                movx    @DPTR, A
code:00002281	code_1951	                movx    A, @DPTR
code:00002288	code_1951	                movx    A, @DPTR
code:0000228C	code_1951	                movx    A, @DPTR
code:0000228E	code_1951	                movx    @DPTR, A
code:00002292	code_1951	                movx    A, @DPTR
code:00002387	code_236D	                movx    A, @DPTR
code:0000239D	code_236D	                movx    A, @DPTR
code:000023B7	code_236D	                movx    A, @DPTR
code:000023CE	code_236D	                movx    @DPTR, A
code:000023DD	code_236D	                movx    @DPTR, A
code:000023EE	code_236D	                movx    @DPTR, A
code:000023FE	code_236D	                movx    @DPTR, A
code:0000A3FF	code_E122	                movx    A, @DPTR
code:0000A438	code_E122	                movx    A, @DPTR
code:0000A44C	code_E122	                movx    A, @DPTR
code:0000A451	code_E122	                movx    A, @DPTR
code:0000A45C	code_E122	                movx    @DPTR, A
code:0000A4B8	CTF	                movx    @DPTR, A
code:0000A4E3	code_E122	                movx    @DPTR, A
code:0000A51D	code_A4FA	                movx    A, @DPTR
code:0000A53F	code_A4FA	                movx    A, @DPTR
code:0000A5DB	code_A4FA	                movx    A, @DPTR
code:0000A6A4	code_A4FA	                movx    A, @DPTR
code:0000A706	code_A4FA	                movx    @DPTR, A
code:0000A715	code_A4FA	                movx    A, @DPTR
code:0000A721	code_A4FA	                movx    @DPTR, A
code:0000A724	code_A4FA	                movx    A, @DPTR
code:0000A729	code_A4FA	                movx    @DPTR, A
code:0000A788	code_A4FA	                movx    @DPTR, A
code:0000A78F	code_A4FA	                movx    A, @DPTR
code:0000A79D	code_A4FA	                movx    A, @DPTR
code:0000A7A8	code_A4FA	                movx    A, @DPTR
code:0000A7C0	code_A4FA	                movx    @DPTR, A
code:0000A7C7	code_A4FA	                movx    A, @DPTR
code:0000A7CC	code_A4FA	                movx    A, @DPTR
code:0000A7D5	code_A4FA	                movx    A, @DPTR
code:0000A7D7	code_A4FA	                movx    @DPTR, A
code:0000A7DD	code_A4FA	                movx    A, @DPTR
code:0000A7E8	code_A4FA	                movx    A, @DPTR
code:0000A800	code_A4FA	                movx    @DPTR, A
code:0000A81B	code_A4FA	                movx    A, @DPTR
code:0000A82D	code_A4FA	                movx    A, @DPTR
code:0000A851	code_A4FA	                movx    A, @DPTR
code:0000A857	code_A4FA	                movx    A, @DPTR
code:0000A85C	code_A4FA	                movx    A, @DPTR
code:0000A861	code_A4FA	                movx    A, @DPTR
code:0000A86C	code_A4FA	                movx    A, @DPTR
code:0000A871	code_A4FA	                movx    A, @DPTR
code:0000A87E	code_A4FA	                movx    A, @DPTR
code:0000A883	code_A4FA	                movx    A, @DPTR
code:0000A88F	code_A4FA	                movx    A, @DPTR
code:0000A898	code_A4FA	                movx    A, @DPTR
code:0000A8A6	code_A4FA	                movx    A, @DPTR
code:0000A8B2	code_A4FA	                movx    A, @DPTR
code:0000A8BB	code_A4FA	                movx    A, @DPTR
code:0000A8C1	code_A4FA	                movx    A, @DPTR
code:0000A8D2	code_A4FA	                movx    @DPTR, A
code:0000A8D8	code_A4FA	                movx    A, @DPTR
code:0000A8DE	code_A4FA	                movx    A, @DPTR
code:0000A8E2	code_A4FA	                movx    @DPTR, A
code:0000A8E6	code_A4FA	                movx    A, @DPTR
code:0000A8EB	code_A4FA	                movx    A, @DPTR
code:0000A8F9	code_A4FA	                movx    @DPTR, A
code:0000A8FD	code_A4FA	                movx    A, @DPTR
code:0000A902	code_A4FA	                movx    @DPTR, A
code:0000A904	code_A4FA	                movx    @DPTR, A
code:0000A90D	code_A4FA	                movx    @DPTR, A
code:0000A916	code_A4FA	                movx    @DPTR, A
code:0000A91B	code_A4FA	                movx    @DPTR, A
code:0000A925	code_A4FA	                movx    A, @DPTR
code:0000A94C	code_A4FA	                movx    A, @DPTR
code:0000A99B	code_A4FA	                movx    A, @DPTR
code:0000A9E7	code_A4FA	                movx    A, @DPTR
code:0000A9EC	code_A4FA	                movx    A, @DPTR
code:0000A9F6	code_A4FA	                movx    A, @DPTR
code:0000AA03	code_A4FA	                movx    A, @DPTR
code:0000AA0B	code_A4FA	                movx    A, @DPTR
code:0000AA0F	code_A4FA	                movx    A, @DPTR
code:0000AA2B	code_AA2B	                movx    A, @DPTR
code:0000AA3A		                movx    A, @DPTR
code:0000AA3D		                movx    @DPTR, A
code:0000AA47	code_AA2B	                movx    A, @DPTR
code:0000AA4A	code_AA2B	                movx    @DPTR, A
code:0000AA86	code_AA7E	                movx    A, @DPTR
code:0000AAAF	code_AA8F	                movx    A, @DPTR
code:0000AACF	code_AA8F	                movx    @DPTR, A
code:0000AAEE	code_AA7E	                movx    A, @DPTR
code:0000AAF2	code_AA7E	                movx    A, @DPTR
code:0000AAF9	code_AA7E	                movx    A, @DPTR
code:0000AAFC	code_AA7E	                movx    @DPTR, A
code:0000AB1B	code_AA7E	                movx    A, @DPTR
code:0000AB1F	code_AA7E	                movx    A, @DPTR
code:0000AB27	code_AA7E	                movx    A, @DPTR
code:0000AB29	code_AA7E	                movx    @DPTR, A
code:0000AB2F	code_A4FA	                movx    A, @DPTR
code:0000AB34	code_A4FA	                movx    A, @DPTR
code:0000AB60	code_AB5A	                movx    A, @DPTR
code:0000AB64	code_AB5A	                movx    @DPTR, A
code:0000AB69	code_AB5A	                movx    @DPTR, A
code:0000AB71	code_AB5A	                movx    @DPTR, A
code:0000AB75	code_AB5A	                movx    A, @DPTR
code:0000AB7A	code_AB5A	                movx    A, @DPTR
code:0000AB80	code_AB5A	                movx    A, @DPTR
code:0000AB87	code_AB87	                movx    A, @DPTR
code:0000AB89	code_AB87	                movx    @DPTR, A
code:0000AB90	code_AB87	                movx    A, @DPTR
code:0000AB9B	code_AB91	                movx    @DPTR, A
code:0000ABA3	code_AB91	                movx    @DPTR, A
code:0000ABAA	code_AB91	                movx    A, @DPTR
code:0000ABAD	code_AB91	                movx    A, @DPTR
code:0000ABB6	code_AB91	                movx    A, @DPTR
code:0000ABBC	code_AB91	                movx    A, @DPTR
code:0000ABC1	code_AB91	                movx    A, @DPTR
code:0000ABC3	code_AB91	                movx    @DPTR, A
code:0000ABCE	code_AB91	                movx    A, @DPTR
code:0000ABD6	code_AB91	                movx    A, @DPTR
code:0000ABDF	code_AB91	                movx    @DPTR, A
code:0000ABEA	code_AB91	                movx    A, @DPTR
code:0000ABF0	code_AB91	                movx    @DPTR, A
code:0000ABF7	code_AB91	                movx    A, @DPTR
code:0000ABFD	code_AB91	                movx    @DPTR, A
code:0000AC06	code_AB91	                movx    @DPTR, A
code:0000AC19	code_AB91	                movx    A, @DPTR
code:0000AC22	code_AB91	                movx    A, @DPTR
code:0000AC2F	code_AB91	                movx    A, @DPTR
code:0000AC36	code_AB91	                movx    A, @DPTR
code:0000AC38	code_AB91	                movx    @DPTR, A
code:0000AC3C	code_AB91	                movx    A, @DPTR
code:0000AC44	code_AB91	                movx    @DPTR, A
code:0000AC4A	code_AB91	                movx    A, @DPTR
code:0000AC52	code_AB91	                movx    @DPTR, A
code:0000AC56	code_AB91	                movx    A, @DPTR
code:0000AC5A	code_AB91	                movx    A, @DPTR
code:0000AC60	code_AB91	                movx    A, @DPTR
code:0000AC67	code_AB91	                movx    A, @DPTR
code:0000AC6C	code_AB91	                movx    A, @DPTR
code:0000AC79	code_AB91	                movx    @DPTR, A
code:0000AC9D	code_AB91	                movx    A, @DPTR
code:0000ACA2	code_AB91	                movx    @DPTR, A
code:0000ACAA	code_AB91	                movx    @DPTR, A
code:0000ACAE	code_AB91	                movx    A, @DPTR
code:0000ACB8	code_AB91	                movx    A, @DPTR
code:0000ACC0	code_AB91	                movx    A, @DPTR
code:0000ACC3	code_AB91	                movx    @DPTR, A
code:0000AD49	code_C84	                movx    @DPTR, A
code:0000AD4D	code_C84	                movx    @DPTR, A
code:0000AD5E	code_C84	                movx    @DPTR, A
code:0000AD62	code_C84	                movx    @DPTR, A
code:0000AD73	code_C84	                movx    @DPTR, A
code:0000AD77	code_C84	                movx    @DPTR, A
code:0000AD88	code_C84	                movx    @DPTR, A
code:0000AD8C	code_C84	                movx    @DPTR, A
code:0000AD9D	code_C84	                movx    @DPTR, A
code:0000ADA1	code_C84	                movx    @DPTR, A
code:0000ADA5	code_C84	                movx    @DPTR, A
code:0000ADA8	code_C84	                movx    @DPTR, A
code:0000ADAC	code_C84	                movx    @DPTR, A
code:0000ADB0	code_C84	                movx    @DPTR, A
code:0000ADB4	code_C84	                movx    A, @DPTR
code:0000ADE5	code_C84	                movx    @DPTR, A
code:0000ADE9	code_C84	                movx    @DPTR, A
code:0000ADED	code_C84	                movx    @DPTR, A
code:0000ADF1	code_C84	                movx    @DPTR, A
code:0000ADF5	code_C84	                movx    @DPTR, A
code:0000AE0B	code_C84	                movx    @DPTR, A
code:0000AE0F	code_C84	                movx    @DPTR, A
code:0000AE13	code_C84	                movx    @DPTR, A
code:0000AE17	code_C84	                movx    @DPTR, A
code:0000AE1B	code_C84	                movx    @DPTR, A
code:0000AE27	code_C84	                movx    @DPTR, A
code:0000AE2B	code_C84	                movx    @DPTR, A
code:0000AE37	code_C84	                movx    @DPTR, A
code:0000AE3B	code_C84	                movx    @DPTR, A
code:0000AE3F	code_C84	                movx    @DPTR, A
code:0000AE43	code_C84	                movx    @DPTR, A
code:0000AE47	code_C84	                movx    @DPTR, A
code:0000AE53	code_C84	                movx    @DPTR, A
code:0000AE57	code_C84	                movx    @DPTR, A
code:0000AE63	code_C84	                movx    @DPTR, A
code:0000AE67	code_C84	                movx    @DPTR, A
code:0000AE6B	code_C84	                movx    @DPTR, A
code:0000AE6F	code_C84	                movx    @DPTR, A
code:0000AE73	code_C84	                movx    @DPTR, A
code:0000AE83	code_C84	                movx    @DPTR, A
code:0000AE8B	code_C84	                movx    @DPTR, A
code:0000AE9C	code_C84	                movx    A, @DPTR
code:0000AE9F	code_C84	                movx    @DPTR, A
code:0000AEA6	code_C84	                movx    A, @DPTR
code:0000AEA9	code_C84	                movx    @DPTR, A
code:0000AEAD	code_C84	                movx    A, @DPTR
code:0000AEB0	code_C84	                movx    A, @DPTR
code:0000AEB3	code_C84	                movx    A, @DPTR
code:0000AEB6	code_C84	                movx    A, @DPTR
code:0000AEBE	code_C84	                movx    A, @DPTR
code:0000AEC1	code_C84	                movx    @DPTR, A
code:0000AEC5	code_C84	                movx    A, @DPTR
code:0000AECA	code_C84	                movx    @DPTR, A
code:0000AECE	code_C84	                movx    A, @DPTR
code:0000AED1	code_C84	                movx    @DPTR, A
code:0000AED5	code_C84	                movx    A, @DPTR
code:0000AED8	code_C84	                movx    @DPTR, A
code:0000AEE2	code_C84	                movx    A, @DPTR
code:0000AEE5	code_C84	                movx    @DPTR, A
code:0000AEE6	code_C84	                movx    A, @DPTR
code:0000AEE9	code_C84	                movx    @DPTR, A
code:0000AEEA	code_C84	                movx    A, @DPTR
code:0000AEED	code_C84	                movx    @DPTR, A
code:0000AEEE	code_C84	                movx    A, @DPTR
code:0000AEF1	code_C84	                movx    @DPTR, A
code:0000AEF6	code_C84	                movx    @DPTR, A
code:0000AEF8	code_C84	                movx    @DPTR, A
code:0000AEFE	code_C84	                movx    @DPTR, A
